,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
204,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[-1, -1]",pomdp,1,16,1
205,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[-1, -1]",myopic,0,32,12
206,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[-1, -1]",egostistical,1,15,0
207,param_6_low_perf,"[0.0, 0.25]",[40 60],"[-1, -1]",pomdp,1,16,1
208,param_6_low_perf,"[0.0, 0.25]",[40 60],"[-1, -1]",myopic,0,34,12
209,param_6_low_perf,"[0.0, 0.25]",[40 60],"[-1, -1]",egostistical,1,15,0
210,param_7_low_perf,"[0.0, 0.25]",[40 80],"[-1, -1]",pomdp,1,16,1
211,param_7_low_perf,"[0.0, 0.25]",[40 80],"[-1, -1]",myopic,0,34,12
212,param_7_low_perf,"[0.0, 0.25]",[40 80],"[-1, -1]",egostistical,1,15,0
213,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[-1, -1]",pomdp,1,16,1
214,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[-1, -1]",myopic,0,36,12
215,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[-1, -1]",egostistical,1,15,0
216,param_1_low_perf,"[0.0, 0.25]",[20 40],"[-1, 0]",pomdp,0,22,7
217,param_1_low_perf,"[0.0, 0.25]",[20 40],"[-1, 0]",myopic,1,27,12
218,param_1_low_perf,"[0.0, 0.25]",[20 40],"[-1, 0]",egostistical,1,15,0
219,param_2_low_perf,"[0.0, 0.25]",[20 60],"[-1, 0]",pomdp,1,16,1
220,param_2_low_perf,"[0.0, 0.25]",[20 60],"[-1, 0]",myopic,1,27,12
221,param_2_low_perf,"[0.0, 0.25]",[20 60],"[-1, 0]",egostistical,1,15,0
222,param_3_low_perf,"[0.0, 0.25]",[20 80],"[-1, 0]",pomdp,1,16,1
223,param_3_low_perf,"[0.0, 0.25]",[20 80],"[-1, 0]",myopic,1,27,12
224,param_3_low_perf,"[0.0, 0.25]",[20 80],"[-1, 0]",egostistical,1,15,0
225,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[-1, 0]",pomdp,1,16,1
226,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[-1, 0]",myopic,1,25,12
227,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[-1, 0]",egostistical,1,15,0
228,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[-1, 0]",pomdp,1,16,1
229,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[-1, 0]",myopic,1,24,12
230,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[-1, 0]",egostistical,1,15,0
231,param_6_low_perf,"[0.0, 0.25]",[40 60],"[-1, 0]",pomdp,1,16,1
232,param_6_low_perf,"[0.0, 0.25]",[40 60],"[-1, 0]",myopic,1,26,12
233,param_6_low_perf,"[0.0, 0.25]",[40 60],"[-1, 0]",egostistical,1,15,0
234,param_7_low_perf,"[0.0, 0.25]",[40 80],"[-1, 0]",pomdp,1,16,1
235,param_7_low_perf,"[0.0, 0.25]",[40 80],"[-1, 0]",myopic,1,30,12
236,param_7_low_perf,"[0.0, 0.25]",[40 80],"[-1, 0]",egostistical,1,15,0
237,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[-1, 0]",pomdp,1,16,1
238,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[-1, 0]",myopic,1,30,12
239,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[-1, 0]",egostistical,1,15,0
240,param_1_low_perf,"[0.0, 0.25]",[20 40],"[0, -1]",pomdp,0,26,7
241,param_1_low_perf,"[0.0, 0.25]",[20 40],"[0, -1]",myopic,1,29,12
242,param_1_low_perf,"[0.0, 0.25]",[20 40],"[0, -1]",egostistical,1,15,0
243,param_2_low_perf,"[0.0, 0.25]",[20 60],"[0, -1]",pomdp,1,16,1
244,param_2_low_perf,"[0.0, 0.25]",[20 60],"[0, -1]",myopic,1,31,12
245,param_2_low_perf,"[0.0, 0.25]",[20 60],"[0, -1]",egostistical,1,15,0
246,param_3_low_perf,"[0.0, 0.25]",[20 80],"[0, -1]",pomdp,1,16,1
247,param_3_low_perf,"[0.0, 0.25]",[20 80],"[0, -1]",myopic,1,31,12
248,param_3_low_perf,"[0.0, 0.25]",[20 80],"[0, -1]",egostistical,1,15,0
249,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[0, -1]",pomdp,1,16,1
250,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[0, -1]",myopic,1,33,12
251,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[0, -1]",egostistical,1,15,0
252,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[0, -1]",pomdp,1,16,1
253,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[0, -1]",myopic,1,33,12
254,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[0, -1]",egostistical,1,15,0
255,param_6_low_perf,"[0.0, 0.25]",[40 60],"[0, -1]",pomdp,1,16,1
256,param_6_low_perf,"[0.0, 0.25]",[40 60],"[0, -1]",myopic,1,29,12
257,param_6_low_perf,"[0.0, 0.25]",[40 60],"[0, -1]",egostistical,1,15,0
258,param_7_low_perf,"[0.0, 0.25]",[40 80],"[0, -1]",pomdp,1,16,1
259,param_7_low_perf,"[0.0, 0.25]",[40 80],"[0, -1]",myopic,1,29,12
260,param_7_low_perf,"[0.0, 0.25]",[40 80],"[0, -1]",egostistical,1,15,0
261,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[0, -1]",pomdp,1,16,1
262,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[0, -1]",myopic,1,32,12
263,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[0, -1]",egostistical,1,15,0
264,param_1_low_perf,"[0.0, 0.25]",[20 40],"[0, 0]",pomdp,0,22,7
265,param_1_low_perf,"[0.0, 0.25]",[20 40],"[0, 0]",myopic,2,26,12
266,param_1_low_perf,"[0.0, 0.25]",[20 40],"[0, 0]",egostistical,1,15,0
267,param_2_low_perf,"[0.0, 0.25]",[20 60],"[0, 0]",pomdp,1,16,1
268,param_2_low_perf,"[0.0, 0.25]",[20 60],"[0, 0]",myopic,2,27,12
269,param_2_low_perf,"[0.0, 0.25]",[20 60],"[0, 0]",egostistical,1,15,0
270,param_3_low_perf,"[0.0, 0.25]",[20 80],"[0, 0]",pomdp,1,16,1
271,param_3_low_perf,"[0.0, 0.25]",[20 80],"[0, 0]",myopic,2,25,12
272,param_3_low_perf,"[0.0, 0.25]",[20 80],"[0, 0]",egostistical,1,15,0
273,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[0, 0]",pomdp,1,16,1
274,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[0, 0]",myopic,2,25,12
275,param_4_low_perf,"[0.0, 0.25]",[ 20 100],"[0, 0]",egostistical,1,15,0
276,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[0, 0]",pomdp,1,16,1
277,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[0, 0]",myopic,2,24,12
278,param_5_low_perf,"[0.0, 0.25]",[ 20 120],"[0, 0]",egostistical,1,15,0
279,param_6_low_perf,"[0.0, 0.25]",[40 60],"[0, 0]",pomdp,1,16,1
280,param_6_low_perf,"[0.0, 0.25]",[40 60],"[0, 0]",myopic,2,26,12
281,param_6_low_perf,"[0.0, 0.25]",[40 60],"[0, 0]",egostistical,1,15,0
282,param_7_low_perf,"[0.0, 0.25]",[40 80],"[0, 0]",pomdp,1,16,1
283,param_7_low_perf,"[0.0, 0.25]",[40 80],"[0, 0]",myopic,2,25,12
284,param_7_low_perf,"[0.0, 0.25]",[40 80],"[0, 0]",egostistical,1,15,0
285,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[0, 0]",pomdp,1,16,1
286,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[0, 0]",myopic,2,24,12
287,param_8_low_perf,"[0.0, 0.25]",[ 40 100],"[0, 0]",egostistical,1,15,0
