,param,initial_state,intervention,agent,cumlative_risk,travel_time,request_time
208,param_2_15,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
209,param_2_15,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
210,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
211,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,24,16
212,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
213,param_2_2,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
214,param_2_2,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,23,14
215,param_2_2,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
216,param_2_3,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
217,param_2_3,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,15,12
218,param_2_3,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
219,param_2_4,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
220,param_2_4,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
221,param_2_4,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
222,param_2_6,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
223,param_2_6,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,24,14
224,param_2_6,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
225,param_2_7,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
226,param_2_7,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,23,13
227,param_2_7,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
