,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
243,param_13_5,"[0.75, 0.75]","[0, 0]",0.0,-4,-1
244,param_13_5,"[1.0, 0.75]","[0, 0]",0.0,-4,-1
245,param_13_5,"[0.0, 1.0]","[0, 0]",0.0,-5,-6
246,param_13_5,"[0.25, 1.0]","[0, 0]",0.0,-5,-1
247,param_13_5,"[0.5, 1.0]","[0, 0]",0.0,-4,-1
248,param_13_5,"[0.75, 1.0]","[0, 0]",0.0,-4,-1
249,param_13_5,"[1.0, 1.0]","[0, 0]",0.0,-4,-1
250,param_13_6,"[0.0, 0.0]","[-1, -1]",0.0,-9,-14
251,param_13_6,"[0.25, 0.0]","[-1, -1]",0.0,-5,-8
252,param_13_6,"[0.5, 0.0]","[-1, -1]",0.0,0,0
253,param_13_6,"[0.75, 0.0]","[-1, -1]",0.0,0,0
254,param_13_6,"[1.0, 0.0]","[-1, -1]",0.0,0,0
255,param_13_6,"[0.0, 0.25]","[-1, -1]",-0.5,-6,-8
256,param_13_6,"[0.25, 0.25]","[-1, -1]",-0.5,0,-1
257,param_13_6,"[0.5, 0.25]","[-1, -1]",-0.5,0,5
258,param_13_6,"[0.75, 0.25]","[-1, -1]",-0.5,0,5
259,param_13_6,"[1.0, 0.25]","[-1, -1]",-0.5,0,5
260,param_13_6,"[0.0, 0.5]","[-1, -1]",0.0,-6,4
261,param_13_6,"[0.25, 0.5]","[-1, -1]",0.0,-5,3
262,param_13_6,"[0.5, 0.5]","[-1, -1]",0.0,0,10
263,param_13_6,"[0.75, 0.5]","[-1, -1]",0.0,0,10
264,param_13_6,"[1.0, 0.5]","[-1, -1]",0.0,0,10
265,param_13_6,"[0.0, 0.75]","[-1, -1]",0.0,-6,4
266,param_13_6,"[0.25, 0.75]","[-1, -1]",0.0,-5,3
267,param_13_6,"[0.5, 0.75]","[-1, -1]",0.0,0,10
268,param_13_6,"[0.75, 0.75]","[-1, -1]",0.0,0,10
269,param_13_6,"[1.0, 0.75]","[-1, -1]",0.0,0,10
270,param_13_6,"[0.0, 1.0]","[-1, -1]",0.0,-6,4
271,param_13_6,"[0.25, 1.0]","[-1, -1]",0.0,-5,3
272,param_13_6,"[0.5, 1.0]","[-1, -1]",0.0,0,10
273,param_13_6,"[0.75, 1.0]","[-1, -1]",0.0,0,10
274,param_13_6,"[1.0, 1.0]","[-1, -1]",0.0,0,10
275,param_13_6,"[0.0, 0.0]","[0, 0]",0.0,0,-12
276,param_13_6,"[0.25, 0.0]","[0, 0]",0.0,0,-6
277,param_13_6,"[0.5, 0.0]","[0, 0]",0.0,-1,-6
278,param_13_6,"[0.75, 0.0]","[0, 0]",0.0,-1,-6
279,param_13_6,"[1.0, 0.0]","[0, 0]",0.0,-1,-6
280,param_13_6,"[0.0, 0.25]","[0, 0]",0.0,0,-6
281,param_13_6,"[0.25, 0.25]","[0, 0]",0.0,0,0
282,param_13_6,"[0.5, 0.25]","[0, 0]",0.0,0,0
283,param_13_6,"[0.75, 0.25]","[0, 0]",0.0,0,0
284,param_13_6,"[1.0, 0.25]","[0, 0]",0.0,0,0
285,param_13_6,"[0.0, 0.5]","[0, 0]",0.0,-2,-6
286,param_13_6,"[0.25, 0.5]","[0, 0]",0.0,1,-1
287,param_13_6,"[0.5, 0.5]","[0, 0]",0.0,-2,-1
288,param_13_6,"[0.75, 0.5]","[0, 0]",0.0,-2,-1
289,param_13_6,"[1.0, 0.5]","[0, 0]",0.0,-2,-1
290,param_13_6,"[0.0, 0.75]","[0, 0]",0.0,-2,-6
291,param_13_6,"[0.25, 0.75]","[0, 0]",0.0,1,-1
292,param_13_6,"[0.5, 0.75]","[0, 0]",0.0,-2,-1
293,param_13_6,"[0.75, 0.75]","[0, 0]",0.0,-2,-1
294,param_13_6,"[1.0, 0.75]","[0, 0]",0.0,-2,-1
295,param_13_6,"[0.0, 1.0]","[0, 0]",0.0,-2,-6
296,param_13_6,"[0.25, 1.0]","[0, 0]",0.0,1,-1
297,param_13_6,"[0.5, 1.0]","[0, 0]",0.0,-2,-1
298,param_13_6,"[0.75, 1.0]","[0, 0]",0.0,-2,-1
299,param_13_6,"[1.0, 1.0]","[0, 0]",0.0,-2,-1
300,param_13_7,"[0.0, 0.0]","[-1, -1]",0.0,-8,-13
301,param_13_7,"[0.25, 0.0]","[-1, -1]",0.0,-4,-7
302,param_13_7,"[0.5, 0.0]","[-1, -1]",0.0,0,0
303,param_13_7,"[0.75, 0.0]","[-1, -1]",0.0,0,0
304,param_13_7,"[1.0, 0.0]","[-1, -1]",0.0,0,0
305,param_13_7,"[0.0, 0.25]","[-1, -1]",-0.5,-5,-7
306,param_13_7,"[0.25, 0.25]","[-1, -1]",-0.5,-4,0
307,param_13_7,"[0.5, 0.25]","[-1, -1]",-0.5,0,0
308,param_13_7,"[0.75, 0.25]","[-1, -1]",-0.5,0,0
309,param_13_7,"[1.0, 0.25]","[-1, -1]",-0.5,0,0
310,param_13_7,"[0.0, 0.5]","[-1, -1]",0.0,-7,5
311,param_13_7,"[0.25, 0.5]","[-1, -1]",0.0,0,9
312,param_13_7,"[0.5, 0.5]","[-1, -1]",0.0,0,15
313,param_13_7,"[0.75, 0.5]","[-1, -1]",0.0,0,15
314,param_13_7,"[1.0, 0.5]","[-1, -1]",0.0,0,15
315,param_13_7,"[0.0, 0.75]","[-1, -1]",0.0,-7,5
316,param_13_7,"[0.25, 0.75]","[-1, -1]",0.0,0,9
317,param_13_7,"[0.5, 0.75]","[-1, -1]",0.0,0,15
318,param_13_7,"[0.75, 0.75]","[-1, -1]",0.0,0,15
319,param_13_7,"[1.0, 0.75]","[-1, -1]",0.0,0,15
320,param_13_7,"[0.0, 1.0]","[-1, -1]",0.0,-7,5
321,param_13_7,"[0.25, 1.0]","[-1, -1]",0.0,0,9
322,param_13_7,"[0.5, 1.0]","[-1, -1]",0.0,0,15
323,param_13_7,"[0.75, 1.0]","[-1, -1]",0.0,0,15
324,param_13_7,"[1.0, 1.0]","[-1, -1]",0.0,0,15
325,param_13_7,"[0.0, 0.0]","[0, 0]",0.0,0,-12
326,param_13_7,"[0.25, 0.0]","[0, 0]",0.0,0,-6
327,param_13_7,"[0.5, 0.0]","[0, 0]",0.0,0,-6
328,param_13_7,"[0.75, 0.0]","[0, 0]",0.0,0,-6
329,param_13_7,"[1.0, 0.0]","[0, 0]",0.0,0,-6
330,param_13_7,"[0.0, 0.25]","[0, 0]",0.0,0,-6
331,param_13_7,"[0.25, 0.25]","[0, 0]",0.0,0,0
332,param_13_7,"[0.5, 0.25]","[0, 0]",0.0,0,0
333,param_13_7,"[0.75, 0.25]","[0, 0]",0.0,0,0
334,param_13_7,"[1.0, 0.25]","[0, 0]",0.0,0,0
335,param_13_7,"[0.0, 0.5]","[0, 0]",0.0,-2,-6
