,param,scenario,agent,cumlative_risk,travel_time,request_time
315,param_7_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
316,param_7_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
317,param_7_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
318,param_7_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
319,param_7_6,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
320,param_7_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
321,param_7_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
322,param_7_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
323,param_7_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
324,param_7_7,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
325,param_7_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
326,param_7_8,"[0.0, 0.0][-1, -1]",myopic,0.5,22,12
327,param_7_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
328,param_7_8,"[0.0, 0.0][-1, -1]",myopic,0.5,22,12
329,param_7_8,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
330,param_7_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
331,param_7_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
332,param_7_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
333,param_7_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
334,param_7_9,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
335,param_7_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
336,param_7_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
337,param_7_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
338,param_7_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
339,param_7_10,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
340,param_7_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
341,param_7_11,"[0.0, 0.0][-1, -1]",myopic,0.5,15,12
342,param_7_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
343,param_7_11,"[0.0, 0.0][-1, -1]",myopic,0.5,15,12
344,param_7_11,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
