,param,risk,intervention,agent,cumlative_risk,travel_time,request_time
327,param_13_5,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
328,param_13_5,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
329,param_13_5,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
330,param_13_6,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
331,param_13_6,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
332,param_13_6,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
333,param_13_7,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
334,param_13_7,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
335,param_13_7,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
336,param_13_8,"[0.25, 0.0]","[0, 0]",pomdp,0,15,5
337,param_13_8,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
338,param_13_8,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
339,param_13_9,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
340,param_13_9,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
341,param_13_9,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
342,param_13_10,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
343,param_13_10,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
344,param_13_10,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
345,param_13_11,"[0.25, 0.0]","[0, 0]",pomdp,0,15,5
346,param_13_11,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
347,param_13_11,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
348,param_13_12,"[0.25, 0.0]","[0, 0]",pomdp,0.5,15,0
349,param_13_12,"[0.25, 0.0]","[0, 0]",myopic,0.5,15,12
350,param_13_12,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
351,param_13_13,"[0.25, 0.0]","[0, 0]",pomdp,0,15,5
352,param_13_13,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
353,param_13_13,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
354,param_13_14,"[0.25, 0.0]","[0, 0]",pomdp,0.5,15,0
355,param_13_14,"[0.25, 0.0]","[0, 0]",myopic,0.5,15,12
356,param_13_14,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
357,param_13_15,"[0.25, 0.0]","[0, 0]",pomdp,0.5,15,0
