,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
168,param_15,"[0.0, 0.0]",[ 60 140],"[0, -1]",pomdp,0.0,15,0
169,param_15,"[0.0, 0.0]",[ 60 140],"[0, -1]",myopic,0.0,22,12
170,param_15,"[0.0, 0.0]",[ 60 140],"[0, -1]",egostistical,0.0,15,0
171,param_16,"[0.0, 0.0]",[ 80 100],"[0, -1]",pomdp,0.0,15,0
172,param_16,"[0.0, 0.0]",[ 80 100],"[0, -1]",myopic,0.0,15,12
173,param_16,"[0.0, 0.0]",[ 80 100],"[0, -1]",egostistical,0.0,15,0
174,param_17,"[0.0, 0.0]",[ 80 120],"[0, -1]",pomdp,0.0,15,0
175,param_17,"[0.0, 0.0]",[ 80 120],"[0, -1]",myopic,0.0,15,12
176,param_17,"[0.0, 0.0]",[ 80 120],"[0, -1]",egostistical,0.0,15,0
177,param_18,"[0.0, 0.0]",[ 80 140],"[0, -1]",pomdp,0.0,15,0
178,param_18,"[0.0, 0.0]",[ 80 140],"[0, -1]",myopic,0.0,22,12
179,param_18,"[0.0, 0.0]",[ 80 140],"[0, -1]",egostistical,0.0,15,0
180,param_19,"[0.0, 0.0]",[100 120],"[0, -1]",pomdp,0.0,15,0
181,param_19,"[0.0, 0.0]",[100 120],"[0, -1]",myopic,0.0,15,12
182,param_19,"[0.0, 0.0]",[100 120],"[0, -1]",egostistical,0.0,15,0
183,param_20,"[0.0, 0.0]",[100 140],"[0, -1]",pomdp,0.0,15,0
184,param_20,"[0.0, 0.0]",[100 140],"[0, -1]",myopic,0.0,22,12
185,param_20,"[0.0, 0.0]",[100 140],"[0, -1]",egostistical,0.0,15,0
186,param_21,"[0.0, 0.0]",[120 140],"[0, -1]",pomdp,0.0,15,0
187,param_21,"[0.0, 0.0]",[120 140],"[0, -1]",myopic,0.0,15,12
188,param_21,"[0.0, 0.0]",[120 140],"[0, -1]",egostistical,0.0,15,0
189,param_1,"[0.0, 0.0]",[20 40],"[0, 0]",pomdp,0.0,15,0
190,param_1,"[0.0, 0.0]",[20 40],"[0, 0]",myopic,0.0,15,12
191,param_1,"[0.0, 0.0]",[20 40],"[0, 0]",egostistical,0.0,15,0
192,param_2,"[0.0, 0.0]",[20 60],"[0, 0]",pomdp,0.0,15,0
193,param_2,"[0.0, 0.0]",[20 60],"[0, 0]",myopic,0.0,15,12
194,param_2,"[0.0, 0.0]",[20 60],"[0, 0]",egostistical,0.0,15,0
195,param_3,"[0.0, 0.0]",[20 80],"[0, 0]",pomdp,0.0,15,0
196,param_3,"[0.0, 0.0]",[20 80],"[0, 0]",myopic,0.0,15,12
197,param_3,"[0.0, 0.0]",[20 80],"[0, 0]",egostistical,0.0,15,0
198,param_4,"[0.0, 0.0]",[ 20 100],"[0, 0]",pomdp,0.0,15,0
199,param_4,"[0.0, 0.0]",[ 20 100],"[0, 0]",myopic,0.0,15,12
200,param_4,"[0.0, 0.0]",[ 20 100],"[0, 0]",egostistical,0.0,15,0
201,param_5,"[0.0, 0.0]",[ 20 120],"[0, 0]",pomdp,0.0,15,0
202,param_5,"[0.0, 0.0]",[ 20 120],"[0, 0]",myopic,0.0,15,12
203,param_5,"[0.0, 0.0]",[ 20 120],"[0, 0]",egostistical,0.0,15,0
204,param_6,"[0.0, 0.0]",[40 60],"[0, 0]",pomdp,0.0,15,0
205,param_6,"[0.0, 0.0]",[40 60],"[0, 0]",myopic,0.0,15,12
206,param_6,"[0.0, 0.0]",[40 60],"[0, 0]",egostistical,0.0,15,0
207,param_7,"[0.0, 0.0]",[40 80],"[0, 0]",pomdp,0.0,15,0
208,param_7,"[0.0, 0.0]",[40 80],"[0, 0]",myopic,0.0,15,12
209,param_7,"[0.0, 0.0]",[40 80],"[0, 0]",egostistical,0.0,15,0
210,param_8,"[0.0, 0.0]",[ 40 100],"[0, 0]",pomdp,0.0,15,0
211,param_8,"[0.0, 0.0]",[ 40 100],"[0, 0]",myopic,0.0,15,12
212,param_8,"[0.0, 0.0]",[ 40 100],"[0, 0]",egostistical,0.0,15,0
213,param_9,"[0.0, 0.0]",[ 40 120],"[0, 0]",pomdp,0.0,15,0
214,param_9,"[0.0, 0.0]",[ 40 120],"[0, 0]",myopic,0.0,15,12
215,param_9,"[0.0, 0.0]",[ 40 120],"[0, 0]",egostistical,0.0,15,0
216,param_10,"[0.0, 0.0]",[ 40 140],"[0, 0]",pomdp,0.0,15,0
217,param_10,"[0.0, 0.0]",[ 40 140],"[0, 0]",myopic,0.0,15,12
218,param_10,"[0.0, 0.0]",[ 40 140],"[0, 0]",egostistical,0.0,15,0
219,param_11,"[0.0, 0.0]",[60 80],"[0, 0]",pomdp,0.0,15,0
220,param_11,"[0.0, 0.0]",[60 80],"[0, 0]",myopic,0.0,15,12
221,param_11,"[0.0, 0.0]",[60 80],"[0, 0]",egostistical,0.0,15,0
222,param_12,"[0.0, 0.0]",[ 60 100],"[0, 0]",pomdp,0.0,15,0
223,param_12,"[0.0, 0.0]",[ 60 100],"[0, 0]",myopic,0.0,15,12
224,param_12,"[0.0, 0.0]",[ 60 100],"[0, 0]",egostistical,0.0,15,0
225,param_13,"[0.0, 0.0]",[ 60 120],"[0, 0]",pomdp,0.0,15,0
226,param_13,"[0.0, 0.0]",[ 60 120],"[0, 0]",myopic,0.0,15,12
227,param_13,"[0.0, 0.0]",[ 60 120],"[0, 0]",egostistical,0.0,15,0
228,param_14,"[0.0, 0.0]",[ 60 140],"[0, 0]",pomdp,0.0,15,0
229,param_14,"[0.0, 0.0]",[ 60 140],"[0, 0]",myopic,0.0,15,12
230,param_14,"[0.0, 0.0]",[ 60 140],"[0, 0]",egostistical,0.0,15,0
231,param_15,"[0.0, 0.0]",[ 60 140],"[0, 0]",pomdp,0.0,15,0
232,param_15,"[0.0, 0.0]",[ 60 140],"[0, 0]",myopic,0.0,15,12
233,param_15,"[0.0, 0.0]",[ 60 140],"[0, 0]",egostistical,0.0,15,0
234,param_16,"[0.0, 0.0]",[ 80 100],"[0, 0]",pomdp,0.0,15,0
235,param_16,"[0.0, 0.0]",[ 80 100],"[0, 0]",myopic,0.0,15,12
