,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
165,param_2_13,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-12
166,param_2_14,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-12
167,param_2_15,"risk:[0.0, 0.25]","int:[0, 0]",0.0,0,-12
168,param_2_1,"risk:[0.25, 0.25]","int:[-1, -1]",1.0,-12,-16
169,param_2_2,"risk:[0.25, 0.25]","int:[-1, -1]",0.5,-8,-14
170,param_2_3,"risk:[0.25, 0.25]","int:[-1, -1]",1.0,0,-12
171,param_2_4,"risk:[0.25, 0.25]","int:[-1, -1]",0.5,0,-12
172,param_2_6,"risk:[0.25, 0.25]","int:[-1, -1]",0.5,-9,-14
173,param_2_7,"risk:[0.25, 0.25]","int:[-1, -1]",0.5,-8,-13
174,param_2_8,"risk:[0.25, 0.25]","int:[-1, -1]",1.0,-7,-12
175,param_2_9,"risk:[0.25, 0.25]","int:[-1, -1]",1.0,-12,-12
176,param_2_10,"risk:[0.25, 0.25]","int:[-1, -1]",1.0,-11,-14
177,param_2_11,"risk:[0.25, 0.25]","int:[-1, -1]",0.5,0,-12
178,param_2_12,"risk:[0.25, 0.25]","int:[-1, -1]",0.0,0,-12
179,param_2_13,"risk:[0.25, 0.25]","int:[-1, -1]",0.5,0,-12
180,param_2_14,"risk:[0.25, 0.25]","int:[-1, -1]",0.0,0,-12
181,param_2_15,"risk:[0.25, 0.25]","int:[-1, -1]",0.0,0,-12
182,param_2_1,"risk:[0.25, 0.25]","int:[0, 0]",0.5,0,-12
183,param_2_2,"risk:[0.25, 0.25]","int:[0, 0]",1.0,0,-12
184,param_2_3,"risk:[0.25, 0.25]","int:[0, 0]",1.0,0,-12
185,param_2_4,"risk:[0.25, 0.25]","int:[0, 0]",0.5,0,-12
186,param_2_6,"risk:[0.25, 0.25]","int:[0, 0]",1.0,0,-12
187,param_2_7,"risk:[0.25, 0.25]","int:[0, 0]",1.0,0,-12
188,param_2_8,"risk:[0.25, 0.25]","int:[0, 0]",1.0,0,-12
189,param_2_9,"risk:[0.25, 0.25]","int:[0, 0]",0.5,0,-11
190,param_2_10,"risk:[0.25, 0.25]","int:[0, 0]",0.5,0,-12
191,param_2_11,"risk:[0.25, 0.25]","int:[0, 0]",0.5,0,-12
192,param_2_12,"risk:[0.25, 0.25]","int:[0, 0]",0.0,0,-12
193,param_2_13,"risk:[0.25, 0.25]","int:[0, 0]",0.5,0,-12
194,param_2_14,"risk:[0.25, 0.25]","int:[0, 0]",0.0,0,-12
195,param_2_15,"risk:[0.25, 0.25]","int:[0, 0]",0.0,0,-12
196,param_2_1,"risk:[0.5, 0.25]","int:[-1, -1]",0.5,-3,-1
197,param_2_2,"risk:[0.5, 0.25]","int:[-1, -1]",0.0,0,-2
198,param_2_3,"risk:[0.5, 0.25]","int:[-1, -1]",0.0,0,-2
199,param_2_4,"risk:[0.5, 0.25]","int:[-1, -1]",0.5,0,-7
